greenhouse_id,crop_type,variety,planting_date,harvest_date,days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,soil_pH,yield_kg_per_m2
1.0,Tomato,Beefsteak,2023-11-02,2024-01-08,67.0,27.6,25.8,30.6,73.6,917.0,16821.0,10.0,9.8,167.0,74.0,154.0,1.3,6.1,9.19
3.0,Cucumber,English,2023-11-01,2024-01-03,63.0,24.4,21.0,27.3,80.8,782.0,27483.0,10.0,9.2,174.0,82.0,126.0,3.2,6.3,7.42
5.0,Tomato,Beefsteak,2023-02-02,2023-04-19,76.0,23.9,20.6,26.0,76.6,821.0,30516.0,10.0,7.0,234.0,64.0,243.0,1.2,6.0,20.86
5.0,Tomato,Heirloom,2023-07-29,2023-10-21,84.0,26.7,25.5,29.6,76.1,710.0,43580.0,15.1,5.4,167.0,63.0,234.0,0.8,6.0,22.09
4.0,Cucumber,Slicing,2023-02-07,2023-04-15,67.0,24.1,22.4,26.5,69.8,921.0,22283.0,10.0,8.4,102.0,98.0,173.0,1.1,7.4,6.42
4.0,Cucumber,Pickling,2023-05-05,2023-06-25,51.0,24.3,23.2,26.3,72.4,754.0,38824.0,14.8,11.6,159.0,81.0,154.0,3.9,6.3,8.65
5.0,Tomato,Roma,2023-03-27,2023-06-02,67.0,22.9,20.4,25.3,75.0,866.0,29717.0,12.4,8.2,174.0,104.0,205.0,0.5,6.9,15.68
2.0,Tomato,Heirloom,2023-09-14,2023-11-19,66.0,25.1,24.1,27.1,72.1,1012.0,33943.0,12.4,9.0,210.0,84.0,216.0,1.4,6.8,13.69
1.0,Pepper,Jalapeno,2023-04-06,2023-06-21,76.0,24.3,22.9,25.4,63.9,674.0,24427.0,13.1,9.0,134.0,90.0,184.0,0.8,6.6,10.06
4.0,Tomato,Heirloom,2023-08-11,2023-11-09,90.0,26.5,24.6,28.1,84.2,742.0,36325.0,14.5,9.1,155.0,92.0,200.0,2.1,6.2,13.81
4.0,Lettuce,Iceberg,2023-10-05,2023-11-05,31.0,16.7,14.3,18.7,82.3,503.0,33328.0,10.9,6.9,100.0,49.0,117.0,0.0,7.3,5.31
2.0,Pepper,Habanero,2023-05-12,2023-08-09,89.0,26.4,24.9,27.7,59.8,785.0,46399.0,15.1,6.2,127.0,45.0,141.0,1.9,6.1,11.77
1.0,Tomato,Roma,2023-04-12,2023-06-25,74.0,26.1,23.6,27.6,82.3,880.0,34404.0,13.5,4.3,161.0,111.0,157.0,1.0,6.5,24.92
4.0,Pepper,Jalapeno,2023-09-02,2023-11-12,71.0,26.3,25.1,28.8,72.9,786.0,40350.0,13.2,4.9,200.0,78.0,157.0,0.4,6.5,16.36
1.0,Tomato,Roma,2023-05-15,2023-07-14,60.0,23.5,21.4,25.3,87.5,713.0,38094.0,15.2,8.3,209.0,80.0,249.0,1.7,6.2,19.24
2.0,Tomato,Cherry,2023-01-17,2023-03-21,63.0,20.6,19.2,22.9,77.4,840.0,12770.0,10.0,4.6,160.0,83.0,196.0,1.6,7.2,16.26
5.0,Tomato,Cherry,2023-12-19,2024-02-18,61.0,28.6,26.9,29.9,77.6,724.0,24463.0,10.0,8.8,195.0,111.0,157.0,0.8,6.4,9.6
5.0,Tomato,Beefsteak,2023-11-27,2024-02-22,87.0,21.1,20.1,22.8,79.9,489.0,25660.0,10.0,5.6,,,,3.1,6.7,17.95
3.0,Lettuce,Romaine,2023-07-26,2023-08-28,33.0,18.5,15.7,20.8,68.0,964.0,31774.0,15.3,6.5,132.0,50.0,114.0,2.8,6.6,8.74
3.0,Tomato,Heirloom,2023-12-25,2024-02-28,65.0,21.8,20.3,23.3,76.4,908.0,20520.0,10.0,4.2,160.0,115.0,229.0,3.0,6.4,19.49
2.0,Cucumber,Pickling,2023-12-10,2024-02-13,65.0,26.0,24.5,27.7,93.9,656.0,19911.0,10.0,7.7,137.0,72.0,155.0,2.2,6.6,8.23
3.0,Lettuce,Butterhead,2023-11-12,2023-12-22,40.0,,,,,,,10.0,7.6,132.0,54.0,104.0,2.2,6.4,5.52
2.0,Tomato,Heirloom,2023-10-26,2023-12-28,63.0,26.5,25.4,28.0,80.0,677.0,28242.0,10.0,5.1,172.0,78.0,205.0,2.3,6.5,20.56
5.0,Pepper,Jalapeno,2023-03-14,2023-05-25,72.0,26.2,24.8,27.8,78.9,969.0,29038.0,11.5,3.3,142.0,83.0,187.0,4.0,6.8,8.89
2.0,Cucumber,English,2023-03-03,2023-04-24,52.0,23.2,21.3,24.9,91.6,714.0,24825.0,10.8,7.5,154.0,42.0,187.0,2.7,6.9,8.09
4.0,Tomato,Roma,2023-07-10,2023-09-17,69.0,23.3,20.4,24.8,87.2,864.0,36060.0,15.8,6.6,197.0,113.0,210.0,1.3,7.1,19.11
1.0,Tomato,Heirloom,2023-07-18,2023-09-22,66.0,27.2,24.0,30.5,64.3,830.0,41365.0,15.6,9.1,211.0,56.0,220.0,1.3,6.8,16.88
1.0,Tomato,Roma,2023-08-17,2023-10-18,62.0,25.3,22.4,28.6,82.0,546.0,30404.0,14.2,6.9,235.0,59.0,238.0,2.4,6.8,19.14
4.0,Lettuce,Romaine,2023-10-16,2023-11-28,43.0,10.6,8.4,12.0,62.3,898.0,20300.0,10.2,2.9,135.0,36.0,81.0,0.4,6.2,5.4
5.0,Tomato,Heirloom,2023-05-12,2023-08-02,82.0,24.7,22.3,27.1,77.9,652.0,46256.0,15.1,5.9,191.0,104.0,200.0,1.1,7.0,26.3
3.0,Tomato,Roma,2023-05-23,2023-08-16,85.0,23.4,21.8,25.3,80.6,734.0,36000.0,15.5,9.1,203.0,52.0,190.0,0.7,6.7,17.57
2.0,Pepper,Habanero,2023-08-21,2023-11-18,89.0,20.6,18.5,23.7,52.5,707.0,36723.0,13.9,5.8,149.0,58.0,146.0,2.9,,7.66
5.0,Tomato,Heirloom,2023-12-22,2024-03-07,76.0,,,,,,,10.0,9.1,249.0,55.0,193.0,1.5,7.1,14.2
5.0,Lettuce,Romaine,2023-06-06,2023-07-24,48.0,19.0,17.1,20.3,63.9,788.0,39696.0,15.9,5.6,99.0,43.0,109.0,0.7,6.6,3.57
4.0,Tomato,Beefsteak,2023-07-06,2023-10-03,89.0,23.6,20.5,26.2,81.8,695.0,34189.0,15.9,8.0,198.0,73.0,193.0,3.7,6.4,15.94
4.0,Pepper,Jalapeno,2023-04-29,2023-07-25,87.0,25.9,23.7,28.1,69.2,753.0,37420.0,14.5,8.7,170.0,56.0,157.0,0.2,7.0,10.37
1.0,Tomato,Heirloom,2023-09-03,2023-11-27,85.0,25.8,23.7,27.6,65.4,893.0,26423.0,13.0,6.6,185.0,83.0,245.0,0.8,7.3,15.22
3.0,Tomato,Beefsteak,2023-08-30,2023-11-10,72.0,26.5,24.5,28.7,72.3,715.0,35822.0,13.4,8.1,181.0,67.0,224.0,0.9,5.4,18.86
4.0,Lettuce,Romaine,2023-06-03,2023-07-12,39.0,19.3,17.5,21.3,62.5,770.0,39489.0,15.8,5.8,,,,0.0,6.3,10.52
3.0,Tomato,Cherry,2023-05-14,2023-07-15,62.0,22.0,20.4,23.6,81.4,827.0,38453.0,15.2,4.0,224.0,52.0,207.0,2.6,6.3,22.41
5.0,Tomato,Beefsteak,2023-05-23,2023-08-16,85.0,23.8,22.3,24.8,60.1,754.0,43884.0,15.5,8.5,250.0,92.0,213.0,0.0,7.0,17.77
3.0,Tomato,Roma,2023-05-16,2023-07-24,69.0,21.7,20.7,23.1,74.3,884.0,35634.0,15.3,6.2,201.0,103.0,151.0,1.9,6.9,20.72
4.0,Tomato,Heirloom,2023-10-18,2023-12-17,60.0,21.5,19.7,23.2,83.4,645.0,25766.0,10.1,6.3,162.0,105.0,240.0,5.1,5.7,15.79
4.0,Tomato,Heirloom,2023-07-27,2023-10-11,76.0,23.5,20.4,26.0,84.6,877.0,32701.0,15.2,8.0,170.0,113.0,225.0,1.8,7.0,13.42
5.0,Tomato,Cherry,2023-10-20,2024-01-08,80.0,23.0,21.2,24.7,70.6,893.0,23881.0,10.0,7.1,161.0,91.0,173.0,1.6,6.4,14.63
4.0,Tomato,Beefsteak,2023-01-07,2023-04-05,88.0,26.9,25.4,30.3,74.6,1019.0,20243.0,10.0,6.2,238.0,120.0,202.0,0.4,6.3,17.19
2.0,Tomato,Beefsteak,2023-02-12,2023-05-06,83.0,27.7,26.1,28.7,63.2,953.0,29707.0,10.0,11.1,227.0,118.0,239.0,2.9,6.8,16.31
2.0,Cucumber,Pickling,2023-06-12,2023-08-14,63.0,24.6,23.6,27.2,76.2,895.0,29128.0,16.0,6.2,199.0,78.0,183.0,2.0,5.5,12.74
2.0,Lettuce,Romaine,2023-10-09,2023-11-20,42.0,19.1,17.4,20.4,58.2,758.0,12872.0,10.7,4.4,138.0,61.0,129.0,4.5,6.5,6.74
4.0,Tomato,Heirloom,2023-01-16,2023-03-30,73.0,28.9,25.8,31.1,75.2,820.0,24114.0,10.0,8.9,,,,0.0,7.1,7.93
2.0,Tomato,Beefsteak,2023-11-21,2024-02-11,82.0,22.9,20.0,24.8,81.4,864.0,16097.0,10.0,5.5,169.0,112.0,191.0,0.5,5.7,17.17
1.0,Cucumber,Pickling,2023-02-24,2023-04-25,60.0,21.0,19.4,23.2,73.1,845.0,30943.0,10.3,5.6,159.0,86.0,156.0,1.7,6.4,13.04
4.0,Tomato,Cherry,2023-03-25,2023-06-13,80.0,26.1,24.9,27.2,71.9,686.0,25994.0,12.3,8.4,245.0,60.0,183.0,2.6,6.7,16.79
5.0,Tomato,Cherry,2023-12-02,2024-02-06,66.0,24.9,23.8,26.2,73.3,932.0,17208.0,10.0,4.1,210.0,51.0,159.0,0.0,5.9,21.42
2.0,Cucumber,Pickling,2023-03-22,2023-05-25,64.0,20.7,19.5,22.0,81.9,980.0,26848.0,12.1,5.0,105.0,90.0,139.0,2.4,7.0,13.17
5.0,Lettuce,Leaf,2023-07-30,2023-09-14,46.0,16.9,15.2,19.5,72.8,704.0,35616.0,15.1,2.3,112.0,60.0,109.0,0.0,7.2,5.28
2.0,Cucumber,English,2023-01-08,2023-03-16,67.0,24.0,21.5,27.3,81.9,824.0,23423.0,10.0,4.6,152.0,91.0,128.0,0.5,6.3,14.45
2.0,Lettuce,Iceberg,2023-01-14,2023-03-03,48.0,20.5,17.4,23.3,82.0,806.0,11378.0,10.0,3.9,92.0,31.0,144.0,0.0,6.2,7.18
4.0,Tomato,Cherry,2023-05-11,2023-08-05,86.0,23.1,21.4,24.7,83.1,890.0,39479.0,15.1,5.3,186.0,55.0,165.0,4.4,7.1,19.99
3.0,Pepper,Jalapeno,2023-05-15,2023-08-17,94.0,26.9,25.3,28.4,69.5,871.0,42063.0,15.2,6.0,157.0,46.0,172.0,0.0,6.7,14.23
4.0,Tomato,Beefsteak,2023-04-25,2023-07-21,87.0,24.1,22.8,26.6,70.8,772.0,40235.0,14.3,8.2,240.0,72.0,212.0,2.5,7.4,12.67
3.0,Lettuce,Leaf,2023-08-06,2023-09-19,44.0,21.0,19.6,22.2,58.8,620.0,37923.0,14.8,5.1,90.0,58.0,143.0,1.5,6.9,11.36
5.0,Tomato,Cherry,2023-01-23,2023-04-22,89.0,26.6,25.0,28.8,67.9,944.0,16384.0,10.0,7.3,163.0,62.0,186.0,0.3,7.4,15.49
4.0,Lettuce,Romaine,2023-10-15,2023-11-15,31.0,18.0,16.7,21.1,69.3,748.0,23120.0,10.3,4.6,97.0,65.0,83.0,0.8,7.1,9.49
2.0,Lettuce,Butterhead,2023-09-02,2023-10-14,42.0,18.6,17.5,20.4,82.3,443.0,26941.0,13.2,4.1,98.0,35.0,122.0,3.4,6.9,9.13
1.0,Lettuce,Romaine,2023-03-17,2023-04-29,43.0,17.4,14.9,20.1,77.8,763.0,28950.0,11.7,3.8,104.0,48.0,122.0,4.0,5.4,9.08
2.0,Cucumber,Slicing,2023-01-02,2023-03-10,67.0,25.0,23.8,26.4,74.8,848.0,32054.0,10.0,6.7,149.0,45.0,176.0,0.7,6.9,13.12
2.0,Tomato,Cherry,2023-02-21,2023-05-12,80.0,24.0,21.4,25.4,65.3,967.0,31789.0,10.1,10.0,,,,0.8,6.7,19.03
4.0,Lettuce,Romaine,2023-04-28,2023-06-02,35.0,16.3,15.2,19.3,67.3,1090.0,34846.0,14.4,5.4,96.0,70.0,95.0,2.3,7.5,6.45
2.0,Tomato,Beefsteak,2023-01-06,2023-03-16,69.0,26.1,23.8,29.1,69.9,1040.0,25827.0,10.0,4.2,176.0,59.0,170.0,3.4,6.9,17.35
1.0,Lettuce,Iceberg,2023-04-12,2023-06-01,50.0,18.2,16.9,19.7,70.0,830.0,34387.0,13.5,3.7,145.0,61.0,147.0,0.8,6.5,9.29
4.0,Cucumber,Pickling,2023-05-20,2023-07-15,56.0,,,,,,,15.4,4.0,188.0,99.0,190.0,1.0,5.6,14.2
3.0,Tomato,Roma,2023-05-09,2023-07-23,75.0,26.2,24.5,28.5,70.6,704.0,40465.0,15.0,7.3,243.0,76.0,159.0,3.4,6.9,16.98
4.0,Pepper,Bell,2023-02-28,2023-06-04,96.0,23.3,21.2,25.1,67.6,958.0,26241.0,10.6,7.8,128.0,81.0,171.0,3.3,6.2,9.12
5.0,Tomato,Cherry,2023-02-07,2023-04-10,62.0,25.0,22.6,26.5,75.5,662.0,20062.0,10.0,7.6,217.0,104.0,221.0,0.1,6.6,13.99
2.0,Cucumber,Slicing,2023-12-31,2024-02-26,57.0,24.4,23.3,25.8,89.1,1098.0,14913.0,10.0,5.3,126.0,82.0,156.0,0.2,7.1,13.22
5.0,Tomato,Roma,2023-07-03,2023-09-06,65.0,24.5,22.8,26.8,73.1,623.0,36372.0,15.9,5.1,230.0,68.0,164.0,2.1,5.7,23.54
5.0,Pepper,Bell,2023-08-31,2023-11-12,73.0,26.6,25.3,27.7,63.0,646.0,35721.0,13.3,9.8,150.0,56.0,127.0,0.5,6.8,7.7
3.0,Lettuce,Romaine,2023-03-25,2023-05-03,39.0,17.2,14.6,18.9,64.0,830.0,20385.0,12.3,4.5,143.0,43.0,145.0,0.0,6.7,6.08
1.0,Tomato,Beefsteak,2023-12-14,2024-02-15,63.0,,,,,,,10.0,9.0,173.0,95.0,194.0,2.5,6.6,11.85
1.0,Lettuce,Leaf,2023-06-27,2023-07-28,31.0,15.3,12.5,17.3,68.7,743.0,38690.0,16.0,1.0,107.0,49.0,103.0,1.7,6.8,4.75
4.0,Tomato,Cherry,2023-07-05,2023-09-18,75.0,25.0,23.7,26.9,70.6,827.0,39074.0,15.9,6.0,160.0,103.0,241.0,0.0,6.9,21.08
4.0,Tomato,Beefsteak,2023-06-09,2023-09-01,84.0,25.6,24.0,26.7,58.5,722.0,43690.0,15.9,6.2,218.0,114.0,199.0,0.3,6.4,22.9
1.0,Tomato,Cherry,2023-11-21,2024-02-01,72.0,21.3,19.9,23.3,68.7,775.0,18129.0,10.0,5.0,232.0,108.0,198.0,2.1,,17.39
3.0,Cucumber,English,2023-03-30,2023-05-24,55.0,23.9,22.0,26.6,92.7,679.0,30728.0,12.6,4.6,179.0,85.0,176.0,3.6,6.8,16.74
2.0,Tomato,Beefsteak,2023-12-23,2024-02-27,66.0,28.9,25.9,32.4,77.3,635.0,11183.0,10.0,8.0,246.0,118.0,189.0,4.3,7.1,11.34
5.0,Tomato,Heirloom,2023-11-19,2024-02-05,78.0,28.0,27.0,29.2,84.4,838.0,21820.0,10.0,6.0,,,,2.3,7.3,17.6
3.0,Lettuce,Butterhead,2023-04-16,2023-05-31,45.0,15.5,12.5,17.7,69.8,793.0,27329.0,13.7,5.5,94.0,40.0,84.0,0.9,6.6,7.78
5.0,Cucumber,Slicing,2023-06-02,2023-07-29,58.0,23.7,22.0,27.0,72.9,997.0,40891.0,15.9,4.6,143.0,94.0,132.0,3.3,7.2,16.77
2.0,Cucumber,Slicing,2023-10-22,2023-12-13,52.0,23.5,21.9,24.7,69.7,803.0,33625.0,10.0,7.8,101.0,95.0,194.0,4.2,6.1,8.08
5.0,Cucumber,Slicing,2023-01-06,2023-03-12,65.0,24.2,21.4,25.4,79.1,778.0,15517.0,10.0,8.9,155.0,78.0,164.0,2.1,6.4,8.4
1.0,Tomato,Roma,2023-03-02,2023-05-30,89.0,19.5,17.9,21.0,78.4,773.0,28645.0,10.7,7.6,183.0,108.0,230.0,0.5,6.4,15.54
4.0,Lettuce,Butterhead,2023-02-01,2023-03-16,43.0,12.9,11.6,14.2,64.0,747.0,26638.0,10.0,5.1,112.0,31.0,103.0,4.7,6.6,8.08
3.0,Cucumber,English,2023-07-05,2023-08-29,55.0,21.9,20.4,23.5,76.4,735.0,35526.0,15.9,6.7,118.0,94.0,155.0,0.0,5.8,9.46
1.0,Tomato,Cherry,2023-04-09,2023-07-01,83.0,24.6,22.6,28.5,86.8,992.0,30568.0,13.3,6.2,,,,-0.1,7.2,18.11
2.0,Lettuce,Butterhead,2023-01-09,2023-02-20,42.0,16.0,14.5,17.9,67.2,868.0,19668.0,10.0,5.6,92.0,65.0,91.0,3.4,6.6,6.08
4.0,Tomato,Cherry,2023-06-26,2023-08-27,62.0,,,,,,,16.0,10.3,185.0,68.0,239.0,0.6,6.4,14.94
5.0,Lettuce,Iceberg,2023-07-03,2023-08-17,45.0,14.1,11.8,15.2,77.3,1027.0,30876.0,15.9,5.4,117.0,58.0,90.0,0.0,6.2,9.65
2.0,Tomato,Roma,2023-01-23,2023-04-20,87.0,27.8,26.6,30.3,75.7,807.0,20339.0,10.0,8.1,232.0,88.0,191.0,3.8,6.4,13.53
3.0,Cucumber,Slicing,2023-04-29,2023-06-25,57.0,22.8,20.1,25.5,83.8,850.0,39878.0,14.5,5.1,133.0,98.0,158.0,0.3,6.7,18.96
5.0,Tomato,Cherry,2023-09-22,2023-11-24,63.0,27.2,24.2,30.6,64.2,911.0,32795.0,11.8,8.7,213.0,107.0,215.0,1.3,6.9,11.29
2.0,Cucumber,Slicing,2023-09-27,2023-11-20,54.0,23.2,20.7,24.7,81.9,518.0,33864.0,11.5,5.1,177.0,91.0,191.0,1.4,6.1,14.74
1.0,Pepper,Bell,2023-02-04,2023-04-26,81.0,25.9,24.5,27.1,67.4,1101.0,26122.0,10.0,8.6,141.0,85.0,136.0,0.6,6.4,8.51
4.0,Tomato,Beefsteak,2023-08-07,2023-10-22,76.0,23.7,22.7,25.2,83.9,857.0,38371.0,14.7,7.0,,,,2.6,6.8,20.9
3.0,Lettuce,Romaine,2023-12-10,2024-01-28,49.0,19.0,17.3,20.9,76.2,893.0,19729.0,10.0,5.2,100.0,69.0,145.0,0.0,6.4,6.26
2.0,Tomato,Heirloom,2023-09-19,2023-11-24,66.0,22.6,20.7,24.2,60.2,804.0,35591.0,12.0,4.7,193.0,101.0,242.0,0.4,6.3,19.82
3.0,Cucumber,Slicing,2023-01-07,2023-03-09,61.0,24.7,22.0,26.4,84.4,492.0,24134.0,10.0,6.9,183.0,82.0,145.0,1.4,7.1,12.15
1.0,Tomato,Roma,2023-08-25,2023-10-26,62.0,20.6,19.6,21.9,79.5,902.0,34082.0,13.7,5.7,,,,2.0,6.6,19.74
1.0,Tomato,Beefsteak,2023-06-02,2023-08-19,78.0,23.8,22.3,25.0,76.7,671.0,39956.0,15.8,8.6,248.0,99.0,181.0,0.8,6.8,17.07
1.0,Lettuce,Butterhead,2023-09-30,2023-11-03,34.0,18.4,16.4,21.6,72.0,750.0,29806.0,11.3,5.7,94.0,59.0,99.0,3.1,6.6,11.37
4.0,Lettuce,Iceberg,2023-02-25,2023-04-12,46.0,,,,,,,10.4,3.5,118.0,49.0,96.0,4.4,6.9,7.99
5.0,Cucumber,Pickling,2023-04-08,2023-06-15,68.0,23.2,20.8,24.6,80.2,689.0,39820.0,13.2,7.2,111.0,67.0,182.0,4.2,6.7,16.1
1.0,Cucumber,English,2023-05-19,2023-07-27,69.0,24.6,21.7,27.4,72.1,796.0,36747.0,15.4,9.2,145.0,85.0,178.0,1.3,6.7,7.37
5.0,Lettuce,Butterhead,2023-07-03,2023-08-04,32.0,20.1,19.0,21.3,70.2,1054.0,33149.0,15.9,4.4,81.0,41.0,127.0,1.6,6.1,6.42
5.0,Pepper,Habanero,2023-02-16,2023-05-22,95.0,25.2,23.7,26.9,56.1,712.0,19786.0,10.0,8.6,125.0,68.0,169.0,3.5,6.2,8.04
3.0,Cucumber,English,2023-02-06,2023-04-07,60.0,26.2,24.5,27.4,80.4,782.0,20405.0,10.0,6.8,109.0,96.0,158.0,4.5,6.3,10.8
2.0,Tomato,Beefsteak,2023-08-04,2023-10-13,70.0,25.7,23.9,27.0,85.2,687.0,39201.0,14.9,7.1,186.0,79.0,221.0,3.6,6.5,17.47
2.0,Tomato,Cherry,2023-07-07,2023-09-22,77.0,24.3,21.4,27.2,70.7,979.0,38214.0,15.8,6.0,187.0,84.0,186.0,2.0,6.1,18.56
3.0,Lettuce,Butterhead,2023-08-28,2023-09-28,31.0,19.1,17.8,20.6,83.6,730.0,24742.0,13.5,6.0,129.0,42.0,109.0,1.1,6.6,10.61
4.0,Tomato,Heirloom,2023-09-23,2023-12-20,88.0,22.1,19.9,25.2,56.7,747.0,28383.0,11.8,6.7,202.0,76.0,156.0,3.6,6.9,16.83
4.0,Cucumber,Slicing,2023-09-09,2023-10-31,52.0,28.1,25.5,31.1,85.0,1177.0,34880.0,12.7,7.0,180.0,50.0,199.0,3.6,6.9,8.55
2.0,Lettuce,Butterhead,2023-03-20,2023-04-26,37.0,18.1,16.6,19.6,77.1,1116.0,31552.0,11.9,3.6,137.0,44.0,94.0,2.9,6.1,8.5
4.0,Tomato,Beefsteak,2023-09-06,2023-11-15,70.0,27.2,25.4,29.5,73.6,864.0,29320.0,12.9,6.5,218.0,99.0,164.0,0.7,5.9,18.19
1.0,Cucumber,Slicing,2023-06-11,2023-08-09,59.0,23.6,22.1,25.1,87.1,735.0,38125.0,15.9,10.2,100.0,45.0,133.0,1.3,6.2,10.6
3.0,Tomato,Roma,2023-01-06,2023-03-16,69.0,27.3,26.2,29.2,69.6,763.0,19143.0,10.0,8.0,247.0,64.0,228.0,0.0,6.5,13.11
2.0,Cucumber,Slicing,2023-10-03,2023-12-10,68.0,22.4,20.8,25.6,96.7,956.0,31220.0,11.1,7.7,194.0,42.0,159.0,0.8,6.6,11.89
4.0,Cucumber,English,2023-12-22,2024-02-22,62.0,22.0,20.9,23.3,83.6,602.0,16449.0,10.0,9.8,116.0,63.0,124.0,2.7,5.7,4.64
2.0,Tomato,Cherry,2023-10-26,2023-12-30,65.0,26.2,22.7,30.0,74.2,826.0,33099.0,10.0,9.7,153.0,104.0,250.0,3.6,7.1,12.58
1.0,Tomato,Heirloom,2023-02-26,2023-04-30,63.0,26.0,23.3,28.4,77.3,1062.0,21672.0,10.5,5.9,249.0,75.0,161.0,1.7,6.6,23.56
5.0,Tomato,Cherry,2023-08-11,2023-10-13,63.0,26.5,25.2,27.6,89.1,635.0,32325.0,14.5,6.7,204.0,98.0,180.0,2.4,6.5,19.66
1.0,Cucumber,Pickling,2023-06-02,2023-08-10,69.0,,,,,,,15.8,7.4,109.0,90.0,189.0,2.0,6.9,12.08
1.0,Tomato,Roma,2023-08-12,2023-10-28,77.0,23.4,20.9,26.9,71.1,903.0,39411.0,14.5,5.3,202.0,54.0,178.0,5.0,6.4,24.88
4.0,Tomato,Beefsteak,2023-10-25,2023-12-24,60.0,25.3,23.9,27.1,98.8,650.0,23462.0,10.0,6.9,,,,0.2,6.6,17.09
2.0,Tomato,Cherry,2023-11-14,2024-01-18,65.0,22.8,19.8,25.3,68.0,667.0,22611.0,10.0,7.1,,,,0.0,6.9,17.49
1.0,Cucumber,Slicing,2023-07-14,2023-09-12,60.0,24.3,21.2,27.6,79.3,1012.0,33058.0,15.7,6.6,192.0,92.0,148.0,0.2,6.7,18.42
4.0,Lettuce,Butterhead,2023-02-18,2023-04-07,48.0,18.9,16.2,21.7,61.7,831.0,23421.0,10.0,7.6,144.0,52.0,110.0,1.6,6.7,8.57
2.0,Tomato,Roma,2023-09-13,2023-11-18,66.0,24.4,21.0,27.1,83.0,808.0,29637.0,12.4,6.9,246.0,106.0,172.0,1.7,7.1,18.96
